0	4.99466e-05
0.5	0.000478262
1	0.00103909
1.5	0.0014985
2	0.00204121
2.5	0.00249716
3	0.00295496
3.5	0.00349626
4	0.0040004
4.5	0.00447946
5	0.00506956
0	-4.92533e-05
0.5	0.000497553
1	0.000927833
1.5	0.00144697
2	0.00193059
2.5	0.00253837
3	0.0029632
3.5	0.00352899
4	0.00398089
4.5	0.00460305
5	0.00493826
0	5.82668e-05
0.5	0.00047729
1	0.000993261
1.5	0.00147502
2	0.00199088
2.5	0.00259222
3	0.00298786
3.5	0.00359984
4	0.00400024
4.5	0.00447889
5	0.00507703
0	4.73714e-06
0.5	0.000576235
1	0.00106084
1.5	0.00149318
2	0.00199004
2.5	0.00248531
3	0.00299408
3.5	0.00344199
4	0.00400062
4.5	0.0045011
5	0.00499644
0	-6.60809e-05
0.5	0.000587216
1	0.000983381
1.5	0.00148764
2	0.00194099
2.5	0.00244048
3	0.00289951
3.5	0.00356692
4	0.00402441
4.5	0.00451482
5	0.0050122
0	-5.4617e-05
0.5	0.000470045
1	0.000960604
1.5	0.00137099
2	0.00193918
2.5	0.00243784
3	0.00298811
3.5	0.00359002
4	0.00397656
4.5	0.00438817
5	0.00498507
0	8.90502e-05
0.5	0.0004557
1	0.00101282
1.5	0.00148157
2	0.00196422
2.5	0.00248066
3	0.00298495
3.5	0.00349363
4	0.00404266
4.5	0.00452276
5	0.00499844
0	5.99525e-05
0.5	0.000517964
1	0.000972072
1.5	0.00154662
2	0.00206953
2.5	0.00254893
3	0.00295527
3.5	0.00351389
4	0.00396237
4.5	0.00446916
5	0.00493507
0	4.9323e-05
0.5	0.000515154
1	0.000925741
1.5	0.00156721
2	0.00201102
2.5	0.00249108
3	0.0029834
3.5	0.00351841
4	0.00397752
4.5	0.00457537
5	0.00499792
0	4.10155e-06
0.5	0.000555666
1	0.00104603
1.5	0.00142973
2	0.00201535
2.5	0.00248445
3	0.0029694
3.5	0.00359254
4	0.0040017
4.5	0.00449536
5	0.00497632
0	4.19143e-05
0.5	0.000416394
1	0.000900231
1.5	0.0015229
2	0.00190348
2.5	0.00244882
3	0.00296868
3.5	0.0034942
4	0.0039702
